location,gender,category,target,time,day,date,year_month,like,after,comment_text
Shanghai,male,MA,G,21,Wednesday,2017/10/25,2017/10,0,中国 女权 代表 。 这位 田园 女 斗士 连雅韵 乃扬 踩 ， 雅韵 乃扬 脑残 还给 点赞 。 智商 清奇 ,她大概觉得她是中国女权最后的代表了。因为这位田园女斗士连雅韵乃扬都踩了，然而雅韵乃扬这个脑残还给她点赞。智商也是非常清奇
Hubei,male,SA,G,21,Wednesday,2017/10/25,2017/10,0,女权 解释 理解 ？ ！ 行   胸大 说了算   惹不起 惹不起 ,女权还能这么来解释理解哦？！行吧 她们胸大她们说了算 惹不起惹不起
Shanghai,female,MA,I,22,Wednesday,2017/10/25,2017/10,0,""" 婊里 婊气 想 找 帮手 怼 叔 ","婊里婊气想找帮手来怼叔呗,感觉是个搞女权宣传的路人"
Fujian,female,SCB,I,23,Wednesday,2017/10/25,2017/10,0,""" 没什么 忌讳 ， 戏称 伪 女权 田园 狗 。 女权 脆弱 ","没什么好忌讳的，戏称伪女权为田园狗而已。女权没那么脆弱,田园女权本质上是女利主义，跟女权无半点关系"
Beijing,male,MA,I,23,Wednesday,2017/10/25,2017/10,5,""" 仔细 关心 中国 女权 现状 ","刚仔细看了下那个关心中国女权现状的,就事论事，抄袭就是抄袭，扯上女权就是模糊焦点，此地无银三百两，反而落实了奶羊抄袭的事实。这个危机公关负分，她们干脆花大价钱好好请个公关团队来洗白吧"
Shandong,female,MA,I,12,Thursday,2017/10/26,2017/10,107,， 听 女权 。 二十出头 找个 大腹便便 相亲 男 嫁过去 ， 一年 生 孩子 ， 男人 天天 加班 不着 家 ， 说不定 兴起 嫌 黄脸婆 两下 ， 照顾 孩子 做 家务 上班 ， 好不容易 熬 孩子 幼儿园 生二胎 ， 经历 。 ？ ,好的，不听女权的。二十出头找个大腹便便的相亲男就嫁过去，一年以后生孩子，男人天天加班不着家，说不定一时兴起嫌你是个黄脸婆还打你两下，你一个人照顾孩子做家务还得上班，好不容易熬到孩子上幼儿园又生二胎，同样的经历再来一次。这样很好对吗？
Others,female,MA,I,12,Thursday,2017/10/26,2017/10,61,女性 4000 ， 男性 拿到 40 ， 卖身 。 那句话 ， 一部分 男 特别 自我感觉 ， 一根 腊肠 ,他的意思是女性拿4000，男性能拿到40万，还不如卖身。还是那句话，有一部分男的特别自我感觉良好，只因为一根小腊肠
Guangdong,female,MA,G,13,Thursday,2017/10/26,2017/10,5,鸡贼 男 心理 ， 女性 戳 瞎 下嫁 ， … … ,鸡贼男心理，女性不戳瞎自己下嫁，就会这样那样……
Oversea,male,SCB,I,13,Thursday,2017/10/26,2017/10,4,女权主义者 男人 伤害 拉拉 ， 理解 ， 女生 鼓吹 女人 地位 遂 成 女权 ， 女权 独立 意识形态 ， 指导 女人 标尺 ， 中国 ， 左 右 ， 提高 意识 就行了 ， 整成 “ 女权 ” 口号 — — 平等 。 ,看到不少女权主义者都是被男人伤害或是拉拉的，这都可以理解，也有某些女生被人鼓吹女人没地位遂她们也成了女权，女权这个东西是个独立意识形态，指导女人行动的标尺，但这是中国啊，有上有下有左有右，提高自己意识就行了，最好别整成“女权”口号——人都是平等的。
Beijing,male,MA,G,13,Thursday,2017/10/26,2017/10,12,写文章 写 道理 错误 ， 逻辑 ， 微博 女权 现状 ？ 感觉 ， 微博上 女权 真 女权 ， 打着 女权 幌子 泄私愤 ， 女权 消费 主意 划等号 … … 真 女权 ？ ,写文章写的道理错误，逻辑有问题，但是难道不是微博女权的现状？之前我感觉，微博上的大多数女权不是真女权，打着女权的幌子泄私愤，把女权和消费主意划等号……这是真女权？
Oversea,female,MA,G,13,Thursday,2017/10/26,2017/10,56,批评 。 投机者 、 自私 鬼 、 冷漠 煽动 。 承认 本来 女权 ， 女权主义者 负 责任 ？ 证明 清白 ？ ,那你去批评她们啊。你说她们是投机者、自私鬼、冷漠又煽动的人。既然你也承认她们本来就不是女权，女权主义者需要对她们负什么责任？需要对他人证明什么清白？
Beijing,male,SCB,I,13,Thursday,2017/10/26,2017/10,0,""" @ 熊小莹 1139 爱敦 贺莲     微博到 大雪 深雾 老师 国内 未来 几年 女性 社会 地位 牌阵 ， 乐观 ， 乐观 原因 提到 ， 错误 女权 ， 女权 ， 视而不见 。 ","@熊小莹1139爱敦贺莲  你微博到大雪深雾老师有关国内未来几年女性社会地位的牌阵，结果不是很乐观，不乐观的原因除了你提到的，还跟错误运用女权有关，女权不是自己需要的时候就拿出来用一下，不需要的时候就视而不见。,@熊小莹1139爱敦贺莲  女权首先应争取平权，男女平等对待，而不是没有理的时候就拿出女权维护所谓的女权。抄袭之后奶羊道歉，被抄袭的可以原谅也可以不原谅，就像你初三的时候班主任硬逼着你秋游你至今耿耿于怀，这是人之常情，如果在短时间装大度原谅抄袭者反而是一种矫情,@熊小莹1139爱敦贺莲  你微博说如果是两个男V撕就算了，女V和男V撕就吃亏了会遭到粉丝的追骂。匪我思存撕流潋紫，流潋紫以及唐七也遭到了广大网友的唾骂，当时也没见你出来指责这些粉丝维护女权。,@熊小莹1139爱敦贺莲  狐狸和奶羊的文风是不同的，但不能说因为文风不同所以奶羊没有抄袭，按照这种逻辑的话如果两个人文风相同就可以认定抄袭吗，正是因为文风不同这边发现了对方抄袭，如果相同反而不大容易发现。你微博说晒证书代表有料，但这不能证明没有抄袭，能力和人品是两回事。,我没会员发不了图，谁有会员发下@奶羊星人占星  发的买占星喵doki做预约号用的截图,这件事跟女权是没有关系的，匪我思存撕流潋紫的时候撕的比这次厉害多了，广大人民群众骂流潋紫和唐七也是非常的狠，比现在狠，当时谁都没有提到女权，我关注的几个知名女权人士也转发了骂抄袭的微博。两个女V及粉丝撕抄袭大家都不提女权，为何男V撕女V抄袭，@熊小莹1139爱敦贺莲  要提女权呢？,这个2017年4月17日注册的小号为什么要买呢？按照奶羊的说法她接手的时候又没几个粉丝，并没有买的价值啊！她们的说辞不一，这是在为抄袭做狡辩，抄袭就是抄袭，承认就好，承认了依然可以做个好人"
Henan,female,SCB,I,14,Thursday,2017/10/26,2017/10,4,女权 女性 特权 男女 平权 ！ ,女权主张的的不是女性特权是男女平权好么！
Beijing,male,SCB,I,16,Thursday,2017/10/26,2017/10,0,""" 解题 不看 条件 ？ 条件 明明白白 ， 管中窥豹 ， 抓 话 黑 ， 煽动 无良 媒体 区别 。 ， 本来 女权 社会 冲突 解药 ， 一位 骂 脑残 ， 感觉 中国 女权 黑 空穴来风 。 希望 女权 别往 设计 方向 走 。 ","也就是解题不看条件？我把条件说的明明白白，你要是这么管中窥豹，抓出一句话来黑我，我只能说你和那些煽动的无良媒体有什么区别。真的不说了，本来我以为女权能是社会冲突很好的解药，现在看到你和上一位骂我脑残的，感觉中国的女权被黑真的不是空穴来风。只能希望女权别往你们设计的方向走。,可以啊，反驳是你们的权力啊，我又不知道他是什么样子，我跳出来说了句我的观点，可能牵扯到他和他的微博了，就被讽刺加扣帽子了？这也太不平权了吧。,额……不说了，沟通真的有点费劲。合着来你们都没是在骂他的例子，没人关注女权到底怎么样了。,看看女权到底是啥子。有好多很好的榜样啊，伏波娃，金塞，李银河，潘绥明，这些人都没给自己扣女权的帽子，但是都做的是女权的事儿。,人最大的问题就是太盲目，你想想国内的这个女权是中国女性自醒得来的还是网络上一堆人瞎煽乎得来的。我觉得在完全弱化生理差异之前男女平等就是乌托邦，即使达到了也是极为脆弱的经不起考验的。同性之间的鄙视链都没消解，谈男女平等不是痴人说梦是啥。我真觉得自诩女权斗士的朋友们做好理论基础，,真的假的？我说微博上伪女权就被讽刺成这样。来来来，咱们做做阅读理解。这个微博表达方式。捏造了一个女的按照网上的女权方式生活最后很悲惨的故事；这个微博的主旨思想：不要瞎鸡儿听信微博上的所谓女权博主瞎鸡儿说的那些话。我都跟你说了，表达问题很大，主旨没问题。"
Hubei,female,MA,G,17,Thursday,2017/10/26,2017/10,18,造 靶子 扣 女权 头上 ， 靶子 开枪 ， 女权 乱 树 靶子 不行 ？ 假 女权 ， 为啥 真 女权 撇清 关系 ， 怪真 女权 ？ ,他自己造了个靶子扣到女权头上，然后对着这个靶子开枪，女权现在说他乱树靶子不行么？你都知道是假女权了，为啥真女权撇清关系的时候，你反而怪真女权？
Oversea,female,MA,I,2,Friday,2017/10/27,2017/10,4,尊重 家庭主妇 情绪 价值 量化 经济 价值 。 量化 女性 颜值 ， 女性 颜值 分数 ， 降低 分数 ， 女性 女权 ， 女性 举着 马克思 西方 思想 毒瘤 ， 女性 平权 男性 房子 分 一半 ， 女性 谈 权利 该天 杀 ， qnmd ,他们也不尊重家庭主妇的情绪价值和无法量化的经济价值。最主要的是他们量化女性颜值，女性说自己颜值分数的时候，他们给她降低分数，女性说她女权的时候，甚至有的女性举着马克思说她是西方思想的毒瘤，女性说平权的时候男性说凭啥房子分你一半，总之女性只要谈权利就是不对就是该天杀去，qnmd
Others,female,MA,I,10,Friday,2017/10/27,2017/10,15,着急 ， 结婚 女人 越 ， 老婆 越 值钱 ， 女权 女 男权 女 ， 地位 飙升 。 女人 家务 拖累 ， 精力 闯 。 到时候 ， 老婆 找 ， 考试 考 女人 ， 工作 做 女人 ， 学术 科研 女人 地盘 ， 渣 精连个 立足 ,能不着急吗，不结婚的女人越多，老婆就越值钱，无论女权女还是男权女，地位都飙升。女人没有家务拖累，精力都用来闯。到时候，老婆找不到，考试考不过女人，工作做不过女人，学术科研也是女人的地盘，渣精连个立足的地方都没有了
Others,female,MA,G,10,Friday,2017/10/27,2017/10,4,太 贬低 女性   女人 永远 努力 好日子 。 操 妈 ,他这就是太贬低女性 觉得女人永远不可能靠自己的努力过上好日子。操他妈
Guangdong,female,MA,I,13,Friday,2017/10/27,2017/10,16,反婚 ， ？ 加个 罪 ？ 姑娘 看清楚 ， 男犬 “ 反婚 ” 当作 大罪 ， 婚姻 制是 男权 基础 ， 随父 姓 婚内 生育 男犬 吸血 。 忐忑 解释 “ 意见 自由选择 婚姻 ” 干嘛 ？ 选择 ？ 反婚 。 ,我就是反婚，怎么样？给我加个什么罪？姑娘们看清楚了吧，男犬把“反婚”当作大罪，可见婚姻制是男权的基础，随父姓的婚内生育就是男犬在吸血。那么忐忑地解释“我意见是自由选择婚姻”干嘛？有得选择吗？就是反婚。
Shanghai,female,MA,I,13,Friday,2017/10/27,2017/10,0,""" 顺便 激进 女权 代表 女权 群体 。 女权 反婚 逻辑 。 爱 反 反 ， 女权 关系 。 ","顺便激进女权也不能代表女权群体。上来就说我女权所以我反婚是逻辑有问题。你爱反就反，跟女权有什么关系。,我有自己关于女权的知识体系啊。我的标准不来自微博上逻辑都不能自洽、连激进女权是什么都不知道就自称是激进女权的所谓“女权博主”啊"
Jiangsu,male,SCB,G,14,Friday,2017/10/27,2017/10,0,话 女人 找富 二代 ， 普通人家 哪有 嫁过去 吃香的喝辣的 衣食无忧 ？ ,其实他那话是让女人都找富二代，不然普通人家哪有可能嫁过去吃香的喝辣的衣食无忧？
Anhui,male,MA,I,14,Friday,2017/10/27,2017/10,0,反婚 女权   反婚 女权主义者 。 女权 “ ” 算不上 仇 男 ， 算厌 男 。 放着 社会 普遍存在 仇 女厌 女 挑剔 女权 “ 仇 男 ” 胡 咧咧 ,有反婚女权 又不反婚的女权主义者。不过女权最“极端”的也算不上仇男，顶多算厌男。放着最社会普遍存在的严重的仇女厌女不说还挑剔女权“仇男”真是胡咧咧
Anhui,male,MA,I,15,Friday,2017/10/27,2017/10,4,反对 女权   女人 伤害 ,可是反对女权的人更多 难道他们都是被女人伤害过吗
Others,male,SCB,G,17,Friday,2017/10/27,2017/10,21,感觉 女 一天到晚 卢本伟养 不自在 搞点 事儿 舒服 ,感觉这个女的一天到晚被卢本伟养着还不自在非得搞点事儿出来才舒服
Jiangsu,female,MA,I,21,Friday,2017/10/27,2017/10,0,田园 女权 ？ 女权 ， 男女平等 权利 ， 贵 ， 贱 ， 偏激 想要 表达 政治 观点 ， 关注 关注 一点 关系 ， 偏执 立场 话 提性 政治 观点 ， 普通人 ， 没点 B 数 ,什么是田园女权？我觉得女权对也不对，应该是男女平等的权利吧，谁不比谁贵，谁也不比谁贱，偏激的人是想要表达政治观点，和关注不关注一点关系都没有，一旦失去了这个偏执的立场就失去了话提性和政治观点，普通人看看就好，谁心里还能没点B数呢
Others,female,MA,I,21,Sunday,2017/10/29,2017/10,0,女权 婊 女人 ？ 事 ,我什么时候说女权婊只有女人了？你都不知道我说的什么事
Jiangsu,female,MA,G,23,Sunday,2017/10/29,2017/10,0,叔 ， 女权 ， 是非不分 ， 脑子 进水 。 ,叔，这种人根本不是女权，是是非不分，脑子进水。
Sichuan,female,MA,G,0,Monday,2017/10/30,2017/10,0,权利 ， 责任 ， 客观 生理 条件 ， 兼顾 ， 田园 女权 。 ,权利，责任，客观生理条件，不能同时兼顾的，就是田园女权吧。
Tianjin,male,MA,I,0,Monday,2017/10/30,2017/10,0,女 ， 无条件 ， ， 男 ？ ！ ---- 田园 女权 ,因为我是女的，所以你就得无条件让着我，否则，你是男的嘛？！----田园女权
Others,female,SCB,I,2,Monday,2017/10/30,2017/10,1,女孩子 田园 女权   嘴巴 骂 欢   恋爱 男孩子 ,其实很多女孩子并不是真正的田园女权 可能嘴巴上骂的欢 真正恋爱的时候其实还是以男孩子为主的吧
Jilin,male,SCB,I,2,Monday,2017/10/30,2017/10,0,女权 平权 ， 享受 男性 同等 礼遇 同事 ， 承担 同等 义务 。 田园 女权 大喊 男女平等 ， 女性 优先 ， 优待 女性 ， 一点 质疑 直 男癌 直 男癌 洗脑 女人 ,真正的女权是为了平权，在享受和男性同等礼遇的同事，承担同等的义务。而田园女权是一边大喊男女平等，一边要求女性优先，优待女性，然后你有一点质疑就说你是直男癌和被直男癌洗脑的女人
Jilin,male,SCB,I,2,Monday,2017/10/30,2017/10,2,女权 平权 ， 享受 男性 同等 礼遇 同事 ， 承担 同等 义务 。 田园 女权 大喊 男女平等 ， 女性 优先 ， 优待 女性 ， 一点 质疑 直 男癌 直 男癌 洗脑 女人 。 ,真正的女权是为了平权，在享受和男性同等礼遇的同事，承担同等的义务。而田园女权是一边大喊男女平等，一边要求女性优先，优待女性，然后你有一点质疑就说你是直男癌和被直男癌洗脑的女人。
Sichuan,male,MA,I,11,Monday,2017/10/30,2017/10,39,直男癌 有车有房 ,直男癌多但是有车有房的可能没多少
Beijing,male,SCB,I,11,Monday,2017/10/30,2017/10,2,女权 脑袋 里 屎 。 女权 ， 反 性别 压迫 ， 反 阶级 压迫 ， 反 民族压迫 。 谈 女权 ？ 平等 基础 ， 逻辑 不清 一团 浆糊 脑瓜子 女权 。 / / ,所以说有些所谓女权脑袋里都是屎。真正的女权，是既反性别压迫，又反阶级压迫，更反民族压迫。否则靠啥谈女权？没有普遍的平等为基础，她以为靠她逻辑不清一团浆糊的脑瓜子就能实现女权呢。//
Henan,male,MA,I,14,Monday,2017/10/30,2017/10,0,田园 女权 ， 听   女权   哈哈哈哈 ,田园女权就是，我都听你的 因为这是你的女权 哈哈哈哈
Beijing,male,MA,G,16,Monday,2017/10/30,2017/10,9,微博 女权 婊 人数 ！ 微博 风气 双标 ！ ,微博女权婊人数还是相当多的！不然微博风气不可能这么双标！
Guizhou,male,MA,I,19,Monday,2017/10/30,2017/10,28,微博 女权 婊是 比直 男癌 ， 承认 ！ ,微博女权婊是比直男癌多的，这个你得承认！
Sichuan,male,MA,G,7,Tuesday,2017/10/31,2017/10,0,婊 婊   要说 五五开 养着 莫名其妙   五五开 穷 揭不开锅 养   赚 钱 不行   五五开 没法 赚钱 ,她婊是婊 但你要说她被五五开养着就莫名其妙了 五五开穷的揭不开锅的时候都是她养着 她赚的钱可一直都多得不行 五五开没她还根本没法那么赚钱
Others,male,MA,I,12,Tuesday,2017/10/31,2017/10,2,男 diss 女 胸怀 、 渣 、 垃圾 ,主要是男的diss女的被认为是胸怀小、渣、垃圾
Jiangsu,male,SCB,G,14,Tuesday,2017/10/31,2017/10,0,男 横 ， 嘴上 男女平等 自觉 女性 贬低 ， 女性 弱者 ,大概男的得横着出去，嘴上说男女平等心里却不自觉把女性贬低，好像女性就一定是弱者一样
Oversea,female,SCB,I,19,Saturday,2017/11/4,2017/11,0,“ 女性 学术 道路 走 ， 浪费 资源 ” 。 男性 ， 男性 百分百 学术 道路 走 ？ ,“女性如果不在学术的道路上走下去，那么就是浪费了这个资源”。男性没有啦，男性百分百会在学术道路上走下去的对不对呀？
Beijing,male,SCB,I,21,Monday,2017/11/6,2017/11,0,男女平等 男女 干什么 地位 ， 擅长 发挥 ， 女人 体力 智力 男人 事实 ， 看不起 女人 ！ ,男女平等并不是说男女干什么都同样的地位，应该是谁擅长什么就发挥什么，女人体力智力不如男人是事实，这不是看不起女人！
Heilongjiang,male,SCB,G,21,Monday,2017/11/6,2017/11,1,@ xvbccbz ： 女人 业障 重 ， 攀比 心 ， 嫉妒心 ， 虚荣心 重 ， 成佛 ， 智力 并不比 男性 差 ， 生存能力 高过 男性 。 ,@xvbccbz：女人业障比较重，攀比心，嫉妒心，虚荣心重，不能成佛，至于智力并不比男性差，生存能力甚至高过男性。
Sichuan,female,SCB,I,4,Friday,2017/11/10,2017/11,3,结婚 女孩子 时间 做 ， 结了婚 女人 孩子 ， 做 家务 ， 上班 孩子 挣 奶粉 钱 ， 哪有 时间 化妆 玩耍 ,你说的这些都是没有结婚的女孩子才有时间做吧，结了婚的女人都在带孩子，做家务，上班给孩子挣奶粉钱，哪有时间化妆和玩耍
Guizhou,female,SCB,G,15,Friday,2017/11/10,2017/11,0,""" 奴隶 生活 ？   家人 共进退 奴隶 ？   孩子 奴隶 ？   当年 父母 奴隶 ？     有没有 孩子 ， 选择 ， 年纪 ， 生不 ， 就别 生育 工具 ","什么叫奴隶生活？ 和自己的家人一起共进退叫奴隶？ 带自己的孩子叫奴隶？ 那当年你父母也是你的奴隶呗？  不知道你有没有孩子，你们可以选择不要啊，等到一定年纪了，生不出来的时候，就别再说人家拿你们当生育工具,我是不看学历 不在乎车子 房子，换来一个始终爱你如一的人 不好吗？ 如果今天嫁给一个高学历 很有钱的人，他却整天花天酒地，那样就幸福了吗？ 如你那个女王所说 女人不是生育的工具，女人不该全权负责家务带孩子，但，当我老公不让我带孩子，让我去逛街 让我到处去玩我却不放心了，因为心里牵挂着家人,还有，你要是眼睛还好使的话，你应该看到。这个原博主是个男权主义者，说我们女人什么都不会做，还要求很多，说我们只看中钱，我才拿我的事来说他，让他别瞧不起我们女性，结果你一个女权主义者却来怼我,什么叫偶尔给我颗糖吃，不好意思，多年来他始终如一。 并不是因为你遇到渣男，别人就一定不能得到幸福，并不是你的父母不好，所有的父母都不好。 我有爱我的家人，丈夫。 你有什么？除了在这虚拟的世界里叫嚣，找一丝存在感。,和你观点不同就要讨厌，那这世上你还要讨厌的人和事多了去了，真的那么看不上与你看法不同的人，还不如死去？ 因为让你讨厌的人太多太多，你活着看到我们，亦是一种痛苦,看你关注一个叫玛雅女王 还是什么的博主，应该是被她洗脑了，属于女权主义者，然后现在我回复的这个博主属于男权主义者，你也关注他了。男权女权你都在意，你怕不是因为婚姻过于凄凉而导致精神分裂症？,我真的醉了，男人和女人都是平等的，男人有男人的难处，女人有女人的难处，何必因为别人的想法而来左右自己？觉得没有女人 你可以过得很好，你就远离女人，没有男人 你觉得你是女王，你就远离男人。 不要去评判别人生活对与错，因为你没资格。也别像个被男权 女权思想，传销一般的洗脑后，而憎恨他人。,你觉得不幸福是你的事，你看到的只是车子房子 还有学历下的幸福！没有看到他为了我和孩子所受的苦，没有看到我生病，他着急痛苦的样子，没有看到，他为了哄我开心，一个大男人，去选口红 的尴尬样，没有看到我向他发脾气 ，他却从来不忍心骂我一句的样子，没有看到我被人欺负时他愤怒的样子…太多太多,你也不用像个深宫怨妇似的，对别人的幸福指手画脚，可怜之人必有可恨之处。  因为和你的观点不同，一来就骂人的人，才是真正的傻叉，还是一个怨妇 泼妇级别的傻叉,你和这个博主是相对立的吧？ 你们对立是你们的事，你觉得女人该怎样是你的事，你不能代表所有女人。 没有深爱一个人，你就没权利评论别人幸不幸福。 至少我为这个家付出那么多，换来一个疼我 爱我的人是值得的。 评论配图"
Sichuan,female,MA,G,22,Friday,2017/11/10,2017/11,1,""" 男权 ， 想 女人 无私奉献 ， 中计 ， 太 ， ， 算了 ， ， ","男权故意这样说，想让女人无私奉献，你还真的中计，你也是太单纯了，唉，算了，随你吧，高兴怎样就怎样吧,你一个高层女人给底层男人做奴隶一辈子，人家偶尔给个糖吃就满足了，随便你吧,那只是因为你的学历让他很有面子，除了你还有哪个大学生会嫁给他,没有憎恨别人，只是讨厌你这样的人，无知还觉得自己很正确,你那种生活能叫幸福吗，你那是受罪吧，那么贬低自己，大学生找个小学生还幸福？天呐"
Shanghai,female,MA,I,19,Sunday,2017/11/12,2017/11,0,感觉 上点 实图 女权 博主 干什么 ， 挂 已婚 未婚 妇女 ， 美名 曰 女权 ， 高举 反婚 反育 大旗 ， 女权 女奴 ， ， 平时 口号 喊 挺 女权 人权 ， 自主 选择 走 路 催婚 （ 话 催婚 ， 女人 ， 男 催婚 ） ,感觉应该要上点实图让你看看那些所谓的女权博主每天在干什么，挂已婚未婚妇女，美名其曰女权，我高举反婚反育的大旗，只要你们跟我们一样就是女权不是女奴，是的呢，平时口号喊得挺好女权就是拥有基本人权，可以自主选择自己要走的路而不是被人催婚（话说催婚，只是针对女人吗，男的就不会被催婚一样）
Others,male,MA,I,16,Monday,2017/11/13,2017/11,3,梅 女演员 ， 当初 批评 特朗普 ， 乐意 女权 斗士 ， 说话 ？ 哈维韦 恩斯 坦 比喻 成神 ？ 当初 韦 恩斯 坦 帮 游说 奥斯卡 最佳 女主角 ， 一年 铁娘子 最佳 女主角 。 ,那个梅什么那女演员，当初那么批评特朗普，那么乐意当女权斗士，这把咋不说话了？她不是把哈维韦恩斯坦比喻成神了么？当初韦恩斯坦还帮她游说奥斯卡最佳女主角了，她那一年就凭铁娘子拿最佳女主角了。
Beijing,male,MA,I,16,Friday,2017/11/24,2017/11,1,昆汀 性骚扰 有没有 。 。 舔 女演员 脚 ,昆汀性骚扰有没有不知道。。但他肯定要求舔过各种女演员的脚
Others,male,SCB,G,6,Saturday,2017/11/25,2017/11,0,女性 插 受 歧视 ， 男女 做爱 插 ？ ,以后会不会有女性表示被插很受歧视，以后男女做爱都要互插？
Shandong,female,MA,I,7,Monday,2017/11/27,2017/11,0,， 女人 男人 努力 ,我去，现在女人要比男人努力的多好吗
Others,female,MA,I,11,Wednesday,2017/12/6,2017/12,2,典型 中国 “ 弱 ” 女子 ！ 美国 硬 ， 悲哀 ,典型的中国“弱”女子！到了美国都没硬起来，悲哀
Guangdong,male,SO,I,12,Thursday,2017/12/21,2017/12,0,性侵 轻香 ， 慌死 唔 知 咁 ， 憨 捻 鸠 噶 ,性侵好轻香啊，慌死人地唔知咁，都憨捻鸠噶
Others,female,MA,I,0,Tuesday,2018/1/2,2018/01,0,前任 网络 群众 并不知道 ， 瞎 起哄 ， 男人 众人 数落 ， 网上聊 骚 知己 朋友 ， 人能 抱怨 。 ,她和前任之间具体发生了什么网络上的群众并不知道，也只是瞎起哄，男人不在众人面前数落，网上聊骚或者和知己朋友会说很多，没有人能做到完全不抱怨吧。
Oversea,female,SCB,G,14,Thursday,2018/1/4,2018/01,1,男性 被性 侵说 重视 ， 调侃 。 舆论 男性 性侵 现阶段 已然 弱势 。 ,男性被性侵说出来大家很少重视，大多是调侃。在舆论方面以及很多方面男性被性侵现阶段已然很弱势了。
Oversea,male,MA,G,14,Thursday,2018/1/4,2018/01,0,， 不知廉耻 女人 ， 请加 好友 ,呵呵，这些不知廉耻的女人，请加我好友联系我
Oversea,female,MA,G,14,Thursday,2018/1/4,2018/01,0,""" 女权 定义 平权 😂 只不过 名声 胡乱 搞臭 。 ","其实女权严格按照定义来讲也是平权吧😂只不过名声被她们自己胡乱搞臭了而已。,我觉得女性主义者不会嘲笑，嘲笑的那类人是田园女权婊。两者应该不同吧……不过女性主义进行的很好男性的权益相对就被忽略了好多了。。"
Oversea,female,MA,G,9,Friday,2018/1/5,2018/01,2,"""   口 ， 推出 看不上 。 。 。 。 。 。 回答 推论 听听 … … 实在 想 。 。 。 ","我的话是 你都下得去口吗，而你从中能推出我的意思是她们看不上你。。。。。。你能回答一下你的推论让我听听吗……我实在想不明白。。。,性侵别人的很多都是那种膀大腰圆身形健硕肥头大耳的中老年油腻妇女，这你还下得去口吗"
Shanxi,male,SCB,G,0,Thursday,2018/1/18,2018/01,44,不信 ， 好歹 有个 逻辑 … 信 信 ， 牵强 ， 主持人 问得 挺 ， ？ （ 不站 变态 队 ， 请 喷 子口 积德 ） ,不是不信她，但好歹有个逻辑啊…一句你信我你信我，很牵强，觉得主持人问得挺对，为什么现在要让人相信她？（本人不站任何变态的队，请喷子口下积德）
Hebei,female,MA,G,2,Thursday,2018/1/18,2018/01,0,同意 ， 一场 声势浩大 女性 运动 ， 越来越 老鼠屎 ， 泻 私愤 ， 打击 男人 。 请 珍惜 。 ,非常同意，这样一场声势浩大的女性运动，却出现了越来越多的老鼠屎，去用它来泻私愤，打击男人。请珍惜它。
Beijing,female,MA,I,6,Thursday,2018/1/18,2018/01,4,UN 2013 调查 22.2% 中国 男性 承认 实施 强奸 ； 05 - 17 年间 官方 民间 多项 调查 交叉 证实 60% - 80% 女性 遭受 性骚扰 。 中国 男人 性骚扰 抓 冤枉 ， 隔 抓 漏网 。 国情 ， 中文 语境 里 询问 MeToo 反 性骚扰 界线 ， 翻译成 “ 何不 食 肉糜 ” 。 ,UN在2013的调查显示有22.2%的中国男性承认实施过强奸；05-17年间官方和民间的多项调查交叉证实60%-80%女性遭受过性骚扰。把所有中国男人按性骚扰抓起来有冤枉的，隔一个抓一个有漏网的。国情在此，在中文语境里询问MeToo反性骚扰的界线在哪里，只能翻译成“何不食肉糜”。
Others,female,MA,I,6,Thursday,2018/1/18,2018/01,0,男人 ： 男人 潜在 强奸犯 ！ ,恰恰是男人自己说的：每个男人都是潜在的强奸犯！
Guangxi,female,MA,I,8,Thursday,2018/1/18,2018/01,3,伍迪 艾伦 估计 恋童 癖 。 性变态 。 娶 养女 ,伍迪艾伦估计也是个恋童癖。要不就是个性变态。娶自己养女的人怎么看都有点不正常
Shanxi,male,MA,I,11,Thursday,2018/1/18,2018/01,1,站 ， 凡事 讲 证据 ， 媒体 公众 年前 控诉 拉拢 舆论 … WA 生活 检点 ， 娶 算是 半个 养女 人为 妻 ， 乱伦 ,我谁也不站，我只是说凡事讲证据，而不是只在媒体公众年前控诉拉拢舆论…当然WA生活的确不检点，娶了算是他半个养女的人为妻，的确有些乱伦
Others,female,MA,G,11,Thursday,2018/1/18,2018/01,0,法院 判决书 确切 证明 伍迪 宋宜 前 没关系 。 住 公寓 ， 米亚 养 子女 住 ， 生活 ， 伍迪 小孩 麻烦 压根 前任 那堆 娃 ， 只带 。 宋宜 读 大学 伍迪 说话 交流 ， 他俩 搞 ， 这家 实在 太 奇葩 ,法院判决书上确切证明了伍迪在宋宜成年前都和她没关系。他住自己的公寓，米亚和养子女住，他们不在一起生活，伍迪觉得小孩麻烦压根不管她和前任那堆娃，只带带自己那三个。宋宜直到成年读大学之后才和伍迪说话交流，然后他俩就搞上了，这家人实在太奇葩了
Anhui,male,SCB,I,0,Friday,2018/1/19,2018/01,0,摘 ： “ 我会 报道 ‘ 女权主义者 ’ ” … … “ 保守派 、 种族主义者 守旧 — — 战略 目的 支持 ： 愚弄 ， 感激 ， 朋友 ， 。 ， 自由 女性 。 ,摘：“有时我会被报道‘不是一个女权主义者’”……“这就是我为什么要对保守派、种族主义者和守旧者——一切出于战略目的支持我的人说：我不会被愚弄，我既不会感激他们，也不会与他们成为朋友，恰恰相反。我是，并且一直会是一个自由的女性。
