location,gender,category,target,time,day,year_month
Beijing,male,SCB,I,17,Thursday,2018-12
Oversea,male,MA,G,19,Thursday,2018-12
Zhejiang,female,MA,I,21,Thursday,2018-12
Oversea,female,MA,G,5,Friday,2018-12
Liaoning,female,MA,I,8,Saturday,2018-12
Sichuan,male,MA,I,19,Monday,2018-12
Sichuan,male,MA,G,19,Tuesday,2018-12
Heilongjiang,female,MA,G,17,Tuesday,2019-01
Zhejiang,male,SCB,G,17,Monday,2019-01
Chongqing,male,SCB,G,16,Wednesday,2019-01
Oversea,female,MA,I,0,Saturday,2019-01
Sichuan,female,MA,I,21,Tuesday,2019-01
Oversea,female,SCB,I,21,Tuesday,2019-01
Beijing,female,MA,G,23,Tuesday,2019-01
Beijing,male,MA,I,0,Wednesday,2019-01
Fujian,female,MA,I,20,Sunday,2019-01
Others,female,MA,G,3,Monday,2019-01
Jilin,female,SCB,I,7,Monday,2019-01
Liaoning,female,MA,G,16,Monday,2019-01
Fujian,female,SCB,I,16,Monday,2019-01
Jilin,female,MA,I,19,Monday,2019-01
Jiangsu,female,MA,I,17,Monday,2019-02
Guangdong,female,SCB,I,17,Monday,2019-02
Jiangsu,male,MA,I,19,Monday,2019-02
Others,female,MA,G,23,Wednesday,2019-02
Hebei,male,SO,I,1,Monday,2019-02
Hebei,male,MA,I,1,Monday,2019-02
Others,male,SO,G,19,Saturday,2019-02
Others,male,SO,G,19,Saturday,2019-02
Others,male,MA,G,0,Friday,2019-02
Shanghai,female,SCB,G,14,Tuesday,2019-03
Jilin,female,SA,G,14,Tuesday,2019-03
Chongqing,male,SO,G,15,Tuesday,2019-03
Guangdong,female,MA,I,15,Tuesday,2019-03
Beijing,female,MA,I,15,Tuesday,2019-03
Oversea,female,MA,I,15,Tuesday,2019-03
Beijing,female,MA,G,15,Tuesday,2019-03
Hebei,female,MA,I,15,Tuesday,2019-03
Jiangsu,male,MA,G,15,Tuesday,2019-03
Inner Mongolia,female,MA,I,16,Tuesday,2019-03
Jilin,female,MA,G,16,Tuesday,2019-03
Shanghai,female,MA,I,16,Tuesday,2019-03
Henan,female,MA,G,17,Tuesday,2019-03
Beijing,female,MA,I,17,Tuesday,2019-03
Sichuan,female,MA,G,17,Tuesday,2019-03
Others,female,MA,I,17,Tuesday,2019-03
Oversea,female,MA,G,17,Tuesday,2019-03
Oversea,male,MA,G,17,Tuesday,2019-03
Zhejiang,female,SA,I,20,Tuesday,2019-03
Shanghai,female,SA,I,22,Tuesday,2019-03
Jilin,female,SCB,G,22,Tuesday,2019-03
Others,female,SA,I,23,Tuesday,2019-03
Jiangsu,female,MA,G,23,Tuesday,2019-03
Oversea,female,MA,I,0,Wednesday,2019-03
Others,male,MA,G,8,Wednesday,2019-03
Others,male,MA,I,8,Wednesday,2019-03
Oversea,female,SCB,I,8,Wednesday,2019-03
Hebei,female,MA,I,9,Wednesday,2019-03
Hebei,female,MA,I,9,Wednesday,2019-03
Others,male,SO,G,23,Wednesday,2019-03
Others,male,MA,G,6,Thursday,2019-03
Others,male,MA,I,19,Friday,2019-03
Others,female,SA,I,15,Saturday,2019-03
Anhui,female,SCB,I,9,Monday,2019-03
Macau,female,MA,I,13,Tuesday,2019-03
Others,female,SCB,I,13,Tuesday,2019-03
Oversea,female,MA,I,13,Tuesday,2019-03
Zhejiang,female,SCB,I,13,Tuesday,2019-03
Oversea,female,SCB,G,14,Tuesday,2019-03
Others,female,MA,I,15,Tuesday,2019-03
Hubei,female,MA,I,16,Tuesday,2019-03
Liaoning,male,MA,G,18,Tuesday,2019-03
Others,male,MA,I,9,Wednesday,2019-03
Others,male,SCB,I,9,Wednesday,2019-03
Beijing,male,MA,I,9,Wednesday,2019-03
Heilongjiang,male,SCB,G,17,Tuesday,2019-03
Hubei,female,SCB,G,15,Sunday,2019-03
Shanghai,female,MA,I,18,Sunday,2019-03
Hubei,female,SCB,G,19,Sunday,2019-03
Oversea,female,MA,G,13,Wednesday,2019-03
Others,male,SA,G,3,Sunday,2019-03
Others,female,MA,G,10,Sunday,2019-03
Others,male,SCB,I,4,Wednesday,2019-04
Others,male,SCB,G,17,Sunday,2019-04
Shanghai,male,MA,G,22,Monday,2019-04
Others,female,SCB,I,1,Tuesday,2019-04
Others,male,MA,I,9,Saturday,2019-04
Sichuan,female,MA,I,9,Saturday,2019-04
Shaanxi,female,MA,G,9,Saturday,2019-04
Zhejiang,male,MA,I,9,Saturday,2019-04
Shanghai,male,SCB,G,9,Saturday,2019-04
Jiangsu,male,SCB,I,10,Saturday,2019-04
Guangdong,male,MA,G,11,Saturday,2019-04
Chongqing,female,MA,G,11,Saturday,2019-04
Hubei,female,MA,G,12,Saturday,2019-04
Henan,female,MA,I,13,Saturday,2019-04
Others,female,SO,G,14,Saturday,2019-04
Beijing,male,MA,I,15,Saturday,2019-04
Shanxi,male,MA,I,16,Saturday,2019-04
Guangdong,male,MA,I,16,Saturday,2019-04
Zhejiang,male,MA,G,13,Sunday,2019-04
Chongqing,male,MA,G,8,Monday,2019-04
Beijing,female,MA,I,16,Monday,2019-04
Xinjiang,male,MA,I,21,Monday,2019-04
Guangxi,female,MA,I,17,Tuesday,2019-04
Oversea,female,MA,G,13,Wednesday,2019-04
Zhejiang,male,MA,G,22,Wednesday,2019-04
Shandong,male,MA,G,1,Thursday,2019-04
Tianjin,female,MA,I,16,Tuesday,2019-04
Oversea,male,MA,I,3,Wednesday,2019-05
Others,female,MA,I,14,Friday,2019-05
Others,male,SA,I,14,Friday,2019-05
Others,female,MA,I,15,Sunday,2019-05
Jiangxi,male,SCB,I,22,Sunday,2019-05
Others,female,MA,I,3,Monday,2019-05
Shanxi,female,SA,I,18,Tuesday,2019-05
Sichuan,female,SCB,I,12,Thursday,2019-05
Beijing,female,MA,I,15,Saturday,2019-05
Others,female,MA,I,16,Saturday,2019-05
Guangdong,male,MA,I,16,Saturday,2019-05
Guangdong,female,SCB,G,19,Saturday,2019-05
Jiangsu,female,SCB,G,20,Saturday,2019-05
Jiangsu,female,SCB,I,20,Saturday,2019-05
Others,male,MA,I,20,Saturday,2019-05
Shanghai,male,SCB,G,19,Sunday,2019-05
Others,female,MA,I,22,Monday,2019-05
Hunan,female,SCB,G,15,Wednesday,2019-05
Beijing,female,MA,I,1,Thursday,2019-05
Others,male,MA,G,1,Thursday,2019-05
Others,female,SCB,I,9,Thursday,2019-05
Beijing,female,MA,I,10,Thursday,2019-05
Beijing,female,MA,I,10,Thursday,2019-05
Others,female,MA,I,16,Saturday,2019-06
Guangdong,male,MA,I,17,Saturday,2019-06
Hong Kong,female,MA,G,18,Saturday,2019-06
Shanxi,female,MA,G,18,Saturday,2019-06
Beijing,female,MA,I,19,Saturday,2019-06
Others,female,MA,I,20,Saturday,2019-06
Others,male,SCB,I,20,Saturday,2019-06
Shandong,male,MA,G,21,Saturday,2019-06
Beijing,male,MA,I,21,Saturday,2019-06
Others,male,SCB,I,21,Saturday,2019-06
Jiangxi,female,MA,I,23,Saturday,2019-06
Shandong,female,MA,G,0,Sunday,2019-06
Others,female,MA,I,0,Sunday,2019-06
Others,male,MA,I,0,Sunday,2019-06
Others,male,MA,G,0,Sunday,2019-06
Jiangxi,female,MA,I,0,Sunday,2019-06
Oversea,female,SCB,G,1,Sunday,2019-06
Oversea,male,SO,I,1,Sunday,2019-06
Hunan,male,SCB,I,4,Sunday,2019-06
Oversea,female,SCB,I,5,Sunday,2019-06
Oversea,female,MA,I,6,Sunday,2019-06
Others,female,MA,I,6,Sunday,2019-06
Jiangxi,female,SCB,G,7,Sunday,2019-06
Others,male,MA,I,7,Sunday,2019-06
Shandong,male,MA,G,8,Sunday,2019-06
Guangdong,female,SCB,I,9,Sunday,2019-06
Oversea,female,SCB,I,11,Sunday,2019-06
Henan,male,SCB,G,13,Sunday,2019-06
Others,female,SCB,I,13,Sunday,2019-06
Others,female,MA,I,17,Sunday,2019-06
Shanghai,female,SCB,I,17,Sunday,2019-06
Guangdong,male,MA,G,18,Sunday,2019-06
Others,female,SCB,I,18,Sunday,2019-06
Shanxi,female,SCB,G,20,Sunday,2019-06
Beijing,female,MA,I,21,Sunday,2019-06
Guangdong,male,MA,I,22,Sunday,2019-06
Jiangxi,female,MA,I,23,Sunday,2019-06
Others,male,MA,G,23,Sunday,2019-06
Others,female,MA,G,0,Monday,2019-06
Others,female,MA,G,11,Monday,2019-06
Shanghai,female,MA,I,11,Monday,2019-06
Shanghai,female,MA,I,12,Monday,2019-06
Others,female,SCB,I,12,Monday,2019-06
Others,female,MA,I,16,Monday,2019-06
Zhejiang,female,MA,I,13,Tuesday,2019-06
Guangdong,male,MA,I,14,Tuesday,2019-06
Shanxi,male,MA,I,17,Wednesday,2019-06
Others,female,MA,I,17,Wednesday,2019-06
Others,female,SCB,I,17,Wednesday,2019-06
Others,male,MA,I,22,Wednesday,2019-06
Others,male,SCB,I,22,Wednesday,2019-06
Others,male,SO,I,0,Thursday,2019-06
Others,male,MA,I,1,Thursday,2019-06
Others,male,SCB,G,2,Thursday,2019-06
Jiangsu,female,SCB,I,2,Thursday,2019-06
Others,male,SCB,G,2,Thursday,2019-06
Shaanxi,female,MA,G,2,Thursday,2019-06
Jiangsu,female,MA,G,2,Thursday,2019-06
Guangdong,male,MA,I,3,Thursday,2019-06
Others,female,MA,G,3,Thursday,2019-06
Oversea,male,SCB,I,8,Thursday,2019-06
Guangdong,female,MA,I,8,Thursday,2019-06
Guangdong,male,MA,I,8,Thursday,2019-06
Others,male,SCB,G,10,Thursday,2019-06
Guangdong,male,SCB,I,13,Thursday,2019-06
Others,male,SCB,I,17,Thursday,2019-06
Jiangsu,female,MA,I,17,Thursday,2019-06
Oversea,female,SCB,G,5,Friday,2019-06
Oversea,male,SCB,G,14,Friday,2019-06
Guangdong,male,SO,G,16,Friday,2019-06
Shanxi,female,MA,G,21,Friday,2019-06
Shanghai,female,MA,G,22,Friday,2019-06
Sichuan,female,MA,G,18,Saturday,2019-06
Shanghai,female,MA,I,2,Sunday,2019-06
Sichuan,male,MA,G,13,Sunday,2019-06
Fujian,female,MA,I,18,Sunday,2019-06
Zhejiang,female,MA,G,2,Monday,2019-06
Others,female,SCB,I,21,Monday,2019-06
Others,male,SCB,I,9,Tuesday,2019-06
Others,male,SCB,I,11,Tuesday,2019-06
Guangxi,male,MA,I,20,Tuesday,2019-06
Oversea,male,MA,I,22,Tuesday,2019-06
Shanghai,male,MA,G,22,Wednesday,2019-06
Sichuan,male,SCB,I,10,Thursday,2019-06
Others,female,SCB,G,14,Thursday,2019-06
Oversea,female,MA,I,15,Thursday,2019-06
Others,male,SCB,I,23,Thursday,2019-06
Oversea,male,MA,I,9,Friday,2019-06
Others,male,MA,I,23,Friday,2019-06
Others,female,SCB,G,15,Saturday,2019-06
Others,female,MA,I,10,Sunday,2019-06
Jiangsu,female,SCB,G,10,Sunday,2019-06
Jiangxi,female,SA,I,11,Sunday,2019-06
Shanghai,female,SCB,I,11,Sunday,2019-06
Others,female,SA,I,11,Sunday,2019-06
Others,male,MA,I,14,Sunday,2019-06
Others,female,SCB,I,17,Sunday,2019-06
Others,female,SCB,I,19,Sunday,2019-06
Fujian,male,SCB,I,20,Sunday,2019-06
Fujian,male,SCB,I,20,Sunday,2019-06
Zhejiang,male,MA,I,22,Sunday,2019-06
Guangdong,female,SCB,G,16,Monday,2019-06
Fujian,female,SCB,G,0,Wednesday,2019-06
Zhejiang,female,SA,I,16,Tuesday,2019-06
Others,female,SCB,G,11,Wednesday,2019-06
Liaoning,male,MA,I,17,Wednesday,2019-06
Anhui,male,SCB,G,20,Wednesday,2019-06
Others,female,MA,I,23,Wednesday,2019-06
Shanghai,male,SCB,I,6,Thursday,2019-06
Others,female,SCB,I,23,Friday,2019-06
Beijing,male,SA,I,7,Saturday,2019-06
Zhejiang,male,SCB,G,7,Saturday,2019-06
Zhejiang,male,SCB,I,7,Saturday,2019-06
Jiangxi,male,MA,I,7,Saturday,2019-06
Beijing,female,MA,I,8,Saturday,2019-06
Shanxi,male,MA,I,8,Saturday,2019-06
Others,female,SCB,G,16,Saturday,2019-06
Oversea,male,SCB,I,18,Saturday,2019-06
Fujian,male,SCB,G,1,Sunday,2019-06
Liaoning,male,MA,G,11,Sunday,2019-06
Shandong,female,SCB,I,18,Sunday,2019-06
Others,male,SCB,I,21,Sunday,2019-06
Beijing,male,SCB,I,23,Sunday,2019-06
Yunnan,female,MA,G,4,Monday,2019-07
Others,male,SCB,G,9,Monday,2019-07
Zhejiang,male,SCB,G,10,Monday,2019-07
Beijing,female,SCB,G,13,Monday,2019-07
Others,female,MA,I,13,Monday,2019-07
Sichuan,female,SCB,G,14,Monday,2019-07
Others,female,MA,I,16,Monday,2019-07
Hebei,female,SCB,G,20,Monday,2019-07
Oversea,male,SCB,I,21,Monday,2019-07
Beijing,female,SCB,I,21,Monday,2019-07
Zhejiang,male,MA,I,22,Monday,2019-07
Guangxi,female,MA,I,12,Tuesday,2019-07
Hebei,male,MA,I,3,Wednesday,2019-07
Others,female,MA,I,9,Wednesday,2019-07
Others,female,SCB,G,10,Wednesday,2019-07
Others,male,SCB,I,10,Wednesday,2019-07
Guangdong,male,MA,I,11,Wednesday,2019-07
Hebei,male,SCB,G,19,Wednesday,2019-07
Others,female,MA,I,3,Thursday,2019-07
Chongqing,male,MA,I,5,Thursday,2019-07
Shanghai,female,MA,I,9,Thursday,2019-07
Shanghai,female,MA,G,18,Thursday,2019-07
Sichuan,male,SO,G,13,Saturday,2019-07
Others,female,MA,G,15,Saturday,2019-07
Zhejiang,female,SCB,I,16,Saturday,2019-07
Taiwan,male,MA,G,18,Saturday,2019-07
Oversea,female,MA,I,10,Sunday,2019-07
Others,male,MA,G,15,Sunday,2019-07
Others,male,SCB,I,9,Monday,2019-07
Fujian,female,MA,I,9,Monday,2019-07
Others,female,SCB,I,9,Monday,2019-07
Jiangsu,female,SCB,I,9,Monday,2019-07
Guangdong,female,SCB,G,9,Monday,2019-07
Oversea,female,MA,G,10,Monday,2019-07
Others,female,MA,G,10,Monday,2019-07
Others,male,MA,G,10,Monday,2019-07
Zhejiang,female,MA,G,10,Monday,2019-07
Hebei,female,SCB,G,10,Monday,2019-07
Oversea,female,SCB,G,10,Monday,2019-07
Others,male,MA,G,11,Monday,2019-07
Guangdong,female,SCB,G,11,Monday,2019-07
Others,female,MA,I,11,Monday,2019-07
Beijing,female,SCB,I,11,Monday,2019-07
Jiangsu,female,SCB,I,12,Monday,2019-07
Others,male,MA,I,12,Monday,2019-07
Henan,male,MA,G,12,Monday,2019-07
Others,female,MA,I,12,Monday,2019-07
Oversea,male,MA,I,15,Monday,2019-07
Inner Mongolia,female,SCB,G,15,Monday,2019-07
Others,female,SCB,I,1,Tuesday,2019-07
Others,female,MA,G,4,Tuesday,2019-07
Others,female,SCB,G,4,Tuesday,2019-07
Oversea,female,MA,G,5,Tuesday,2019-07
Hong Kong,male,SCB,I,8,Tuesday,2019-07
Shanghai,female,SCB,I,9,Tuesday,2019-07
Fujian,female,SCB,G,21,Tuesday,2019-07
Others,male,MA,G,12,Wednesday,2019-07
Fujian,female,MA,I,0,Thursday,2019-07
Jiangsu,female,MA,G,21,Thursday,2019-07
Sichuan,female,MA,I,23,Thursday,2019-07
Sichuan,female,MA,I,0,Monday,2019-07
Beijing,male,MA,G,4,Monday,2019-07
Beijing,male,SCB,G,4,Monday,2019-07
Shanghai,female,SO,G,10,Tuesday,2019-07
Beijing,female,SCB,G,16,Sunday,2019-07
Others,female,MA,I,16,Sunday,2019-07
Others,male,MA,I,16,Sunday,2019-07
Oversea,female,SCB,I,16,Sunday,2019-07
Others,female,SCB,G,16,Sunday,2019-07
Others,female,MA,I,17,Sunday,2019-07
Jiangxi,female,SCB,I,17,Sunday,2019-07
Oversea,male,MA,I,17,Sunday,2019-07
Others,female,SCB,G,17,Sunday,2019-07
Others,female,SCB,G,17,Sunday,2019-07
Beijing,female,MA,G,17,Sunday,2019-07
Beijing,female,MA,G,18,Sunday,2019-07
Others,female,SCB,I,18,Sunday,2019-07
Others,male,MA,I,19,Sunday,2019-07
Others,female,MA,I,21,Sunday,2019-07
Fujian,female,MA,I,22,Sunday,2019-07
Oversea,female,MA,I,22,Sunday,2019-07
Hubei,female,MA,I,22,Sunday,2019-07
Others,female,MA,I,0,Monday,2019-07
Others,female,MA,G,0,Monday,2019-07
Beijing,male,SCB,I,8,Monday,2019-07
Hong Kong,male,MA,G,10,Monday,2019-07
Hong Kong,male,SCB,G,10,Monday,2019-07
Hong Kong,male,SCB,G,10,Monday,2019-07
Others,female,MA,I,11,Monday,2019-07
Oversea,male,MA,G,12,Friday,2019-07
Others,female,MA,I,13,Saturday,2019-07
Jiangxi,male,SCB,G,1,Monday,2019-07
Others,female,SCB,G,9,Wednesday,2019-07
Shandong,female,SCB,I,1,Saturday,2019-08
Beijing,male,SCB,G,7,Saturday,2019-08
Others,female,MA,G,9,Saturday,2019-08
Guangdong,female,MA,G,11,Saturday,2019-08
Guangdong,female,SCB,G,11,Saturday,2019-08
Others,male,SCB,I,12,Saturday,2019-08
Others,female,SCB,I,12,Saturday,2019-08
Jiangsu,female,SCB,G,23,Saturday,2019-08
Beijing,male,SCB,G,3,Sunday,2019-08
Hubei,male,MA,I,9,Sunday,2019-08
Beijing,male,SCB,I,9,Sunday,2019-08
Shandong,female,SCB,G,12,Sunday,2019-08
Others,male,MA,I,21,Sunday,2019-08
Shanghai,male,SCB,I,10,Monday,2019-08
Others,male,MA,G,11,Monday,2019-08
Others,male,MA,G,14,Tuesday,2019-08
Ningxia,male,MA,I,15,Saturday,2019-08
Hebei,male,SCB,I,15,Monday,2019-08
Shanghai,female,MA,I,17,Tuesday,2019-08
Others,female,MA,G,20,Tuesday,2019-08
Shanghai,female,MA,G,15,Saturday,2019-08
Jilin,male,MA,I,15,Saturday,2019-08
Jiangsu,male,MA,I,15,Saturday,2019-08
Oversea,female,SCB,G,15,Saturday,2019-08
Others,male,SCB,I,16,Saturday,2019-08
Shanghai,female,SCB,G,17,Saturday,2019-08
Anhui,female,MA,I,19,Saturday,2019-08
Others,female,SA,I,19,Saturday,2019-08
Shanghai,female,MA,I,20,Saturday,2019-08
Shanghai,female,MA,I,11,Sunday,2019-08
Beijing,female,SCB,G,14,Sunday,2019-08
Sichuan,female,SCB,I,14,Sunday,2019-08
Others,male,SCB,I,0,Wednesday,2019-08
Hunan,female,MA,I,15,Wednesday,2019-08
Chongqing,female,MA,G,9,Thursday,2019-08
Chongqing,female,MA,I,11,Sunday,2019-09
Zhejiang,female,MA,I,14,Sunday,2019-09
Others,female,SCB,I,14,Sunday,2019-09
Shanghai,female,MA,I,13,Monday,2019-09
Liaoning,female,SCB,G,13,Monday,2019-09
Liaoning,female,SCB,G,7,Wednesday,2019-09
Beijing,female,SCB,G,13,Saturday,2019-09
Fujian,female,MA,I,1,Monday,2019-09
Beijing,male,SCB,G,11,Friday,2019-09
Jiangsu,female,MA,I,13,Friday,2019-09
Jiangsu,female,MA,G,13,Friday,2019-09
Beijing,female,MA,I,13,Friday,2019-09
Beijing,female,MA,I,15,Friday,2019-09
Others,female,MA,I,15,Friday,2019-09
Others,female,MA,I,9,Saturday,2019-09
Others,male,SCB,I,13,Saturday,2019-09
Beijing,female,SCB,I,14,Saturday,2019-09
Zhejiang,female,SCB,I,19,Saturday,2019-09
Oversea,male,MA,I,22,Sunday,2019-09
Jilin,female,MA,G,22,Sunday,2019-09
Oversea,female,MA,I,17,Tuesday,2019-09
Shanghai,male,SCB,I,9,Wednesday,2019-09
Guangdong,female,SCB,G,1,Sunday,2019-09
Others,male,SO,G,20,Wednesday,2019-09
Guangdong,male,MA,I,14,Thursday,2019-09
Jilin,female,SCB,G,23,Saturday,2019-09
Guangdong,male,MA,G,19,Wednesday,2019-10
Others,female,SCB,I,21,Wednesday,2019-10
Oversea,female,MA,I,21,Wednesday,2019-10
Shandong,male,SCB,G,2,Friday,2019-10
Oversea,male,SCB,I,11,Friday,2019-10
Shanghai,male,MA,I,12,Friday,2019-10
Fujian,male,MA,I,12,Friday,2019-10
Others,male,SCB,I,13,Friday,2019-10
Shanghai,male,SCB,I,21,Friday,2019-10
Oversea,female,SCB,I,13,Saturday,2019-10
Others,female,MA,I,14,Saturday,2019-10
Oversea,female,MA,I,6,Sunday,2019-10
Chongqing,male,MA,I,13,Sunday,2019-10
Tianjin,male,SCB,I,9,Monday,2019-10
Oversea,male,MA,I,11,Monday,2019-10
Shanghai,female,MA,I,13,Monday,2019-10
Others,female,SCB,G,18,Monday,2019-10
Others,female,MA,G,18,Monday,2019-10
Oversea,male,SA,I,10,Tuesday,2019-10
Oversea,male,MA,I,15,Thursday,2019-10
Zhejiang,female,MA,I,16,Thursday,2019-10
Others,male,SCB,G,17,Thursday,2019-10
Others,female,SCB,I,21,Thursday,2019-10
Oversea,female,MA,G,6,Friday,2019-10
Guangdong,male,MA,I,19,Friday,2019-10
Beijing,female,SCB,I,20,Friday,2019-10
Others,female,SCB,I,20,Friday,2019-10
Oversea,female,SA,I,21,Friday,2019-10
Beijing,male,SCB,I,21,Friday,2019-10
Shanxi,male,MA,G,22,Friday,2019-10
Oversea,female,MA,G,4,Saturday,2019-10
Jiangsu,female,MA,I,6,Saturday,2019-10
Others,female,MA,I,10,Saturday,2019-10
Others,female,MA,G,12,Saturday,2019-10
Zhejiang,female,MA,G,12,Saturday,2019-10
Zhejiang,female,MA,I,14,Saturday,2019-10
Others,female,SCB,G,16,Saturday,2019-10
Jiangsu,female,MA,I,20,Saturday,2019-10
Others,female,MA,G,23,Saturday,2019-10
Others,female,MA,I,12,Monday,2019-10
Oversea,female,SCB,G,18,Sunday,2019-10
Guangdong,female,MA,I,21,Sunday,2019-10
Liaoning,female,MA,I,22,Sunday,2019-10
Others,female,SCB,G,22,Sunday,2019-10
Liaoning,female,MA,G,22,Sunday,2019-10
Guangxi,male,SCB,G,22,Sunday,2019-10
Jiangsu,female,MA,I,23,Sunday,2019-10
Others,female,SCB,G,23,Sunday,2019-10
Guangdong,female,MA,I,23,Sunday,2019-10
Others,female,MA,I,23,Sunday,2019-10
Others,female,MA,I,0,Monday,2019-10
Guangdong,female,MA,I,0,Monday,2019-10
Oversea,female,MA,I,1,Monday,2019-10
Oversea,female,MA,I,1,Monday,2019-10
Guangdong,female,MA,G,7,Monday,2019-10
Others,male,MA,I,13,Monday,2019-10
Guangdong,female,MA,I,19,Monday,2019-10
Others,male,MA,I,23,Monday,2019-10
Others,female,MA,I,4,Tuesday,2019-10
Oversea,female,SCB,G,7,Tuesday,2019-10
Shandong,female,MA,I,7,Tuesday,2019-10
Shanxi,male,MA,I,12,Tuesday,2019-10
Shanghai,female,MA,I,2,Thursday,2019-10
Zhejiang,male,SCB,G,2,Friday,2019-10
Others,female,MA,G,0,Monday,2019-10
Others,female,SCB,G,0,Monday,2019-10
Anhui,male,SCB,G,18,Wednesday,2019-11
Zhejiang,female,MA,G,10,Sunday,2019-11
Others,female,MA,G,10,Sunday,2019-11
Others,female,MA,G,11,Sunday,2019-11
Others,female,MA,G,11,Sunday,2019-11
Others,female,MA,G,11,Sunday,2019-11
Others,female,MA,I,12,Sunday,2019-11
Others,female,MA,I,13,Sunday,2019-11
Others,male,SCB,G,18,Monday,2019-11
Hubei,male,MA,I,10,Friday,2019-11
Anhui,male,SCB,G,10,Friday,2019-11
Others,male,MA,I,10,Friday,2019-11
Others,female,MA,G,13,Friday,2019-11
Shanghai,male,SA,I,13,Friday,2019-11
Others,male,SCB,I,16,Friday,2019-11
Hubei,male,MA,I,17,Friday,2019-11
Others,male,SCB,I,22,Friday,2019-11
Hubei,female,SCB,I,23,Friday,2019-11
Guangdong,male,MA,I,19,Sunday,2019-11
Others,female,MA,I,0,Monday,2019-11
Others,female,MA,I,1,Monday,2019-11
Shaanxi,female,MA,I,7,Monday,2019-11
Shanghai,female,MA,I,11,Monday,2019-11
Henan,female,MA,I,23,Monday,2019-11
Others,female,MA,G,17,Tuesday,2019-11
Others,female,MA,I,9,Thursday,2019-11
Beijing,female,MA,I,10,Saturday,2019-11
Beijing,female,MA,I,10,Saturday,2019-11
Shanghai,male,SCB,I,12,Saturday,2019-11
Others,male,SCB,I,2,Sunday,2019-11
Others,male,SCB,G,22,Monday,2019-11
Shanghai,female,MA,I,14,Tuesday,2019-11
Oversea,male,MA,I,22,Saturday,2019-11
Hunan,female,SO,I,1,Tuesday,2019-12
Macau,female,MA,I,19,Tuesday,2019-12
Hunan,male,MA,I,21,Tuesday,2019-12
Jiangsu,female,MA,G,1,Wednesday,2019-12
Others,female,SCB,G,1,Wednesday,2019-12
Oversea,female,MA,I,8,Wednesday,2019-12
Shanxi,male,SCB,I,18,Thursday,2019-12
Jiangxi,female,MA,G,18,Thursday,2019-12
Jiangsu,female,SO,I,23,Friday,2019-12
Beijing,male,MA,I,13,Saturday,2019-12
Others,female,MA,I,14,Saturday,2019-12
Jiangsu,female,SCB,I,18,Saturday,2019-12
Fujian,male,MA,I,23,Saturday,2019-12
Oversea,female,SCB,I,5,Sunday,2019-12
Shanghai,male,SCB,I,6,Sunday,2019-12
Shanghai,male,SCB,I,11,Sunday,2019-12
Guangdong,male,SCB,I,11,Sunday,2019-12
Others,male,SCB,G,19,Monday,2019-12
Jiangsu,female,SA,I,20,Monday,2019-12
Others,male,MA,I,21,Monday,2019-12
Chongqing,female,MA,I,23,Monday,2019-12
Oversea,female,MA,G,13,Tuesday,2019-12
Hebei,female,MA,I,17,Tuesday,2019-12
Hebei,female,MA,I,18,Tuesday,2019-12
Oversea,female,MA,G,18,Tuesday,2019-12
Chongqing,male,MA,G,16,Wednesday,2019-12
Others,female,SCB,G,19,Wednesday,2019-12
Shandong,male,MA,I,7,Thursday,2019-12
Hubei,male,SCB,G,13,Sunday,2019-12
Others,female,SCB,G,14,Sunday,2019-12
Guangdong,female,SCB,G,10,Monday,2019-12
Guangdong,female,SCB,I,10,Monday,2019-12
Jiangsu,female,MA,I,12,Tuesday,2019-12
Jiangsu,female,SCB,I,12,Tuesday,2019-12
Oversea,female,MA,I,16,Thursday,2019-12
Oversea,female,MA,I,17,Friday,2019-12
Others,female,MA,I,18,Friday,2019-12
Others,female,MA,I,18,Friday,2019-12
Others,female,MA,I,18,Friday,2019-12
Others,female,SCB,I,19,Friday,2019-12
Others,female,SCB,G,19,Friday,2019-12
Others,female,SO,I,0,Saturday,2019-12
Liaoning,male,MA,I,3,Saturday,2019-12
Oversea,female,MA,I,11,Saturday,2019-12
Jilin,female,MA,I,22,Saturday,2019-12
Guangdong,female,MA,I,18,Sunday,2019-12
Others,female,SCB,I,18,Tuesday,2019-12
Oversea,female,MA,I,18,Tuesday,2019-12
Others,female,SCB,I,18,Tuesday,2019-12
Oversea,female,MA,I,7,Thursday,2019-12
Zhejiang,female,MA,I,19,Thursday,2019-12
Chongqing,female,MA,I,21,Thursday,2019-12
Jiangsu,female,SCB,G,2,Saturday,2019-12
Jiangsu,female,MA,I,3,Saturday,2019-12
Jiangsu,female,MA,G,19,Saturday,2019-12
Shanxi,female,MA,G,19,Wednesday,2020-01
Shanxi,female,SCB,G,19,Wednesday,2020-01
Yunnan,female,MA,I,21,Saturday,2020-01
Others,female,MA,I,0,Sunday,2020-01
Guangdong,female,MA,I,0,Sunday,2020-01
Guangdong,female,MA,I,0,Sunday,2020-01
Heilongjiang,female,MA,I,1,Sunday,2020-01
Shandong,female,MA,I,3,Sunday,2020-01
Shandong,female,MA,I,3,Sunday,2020-01
Beijing,female,MA,I,5,Sunday,2020-01
Henan,female,MA,I,5,Sunday,2020-01
Others,female,SCB,G,9,Sunday,2020-01
Others,female,MA,I,9,Sunday,2020-01
Others,female,MA,G,10,Sunday,2020-01
Heilongjiang,female,MA,I,13,Sunday,2020-01
