before,after
"没有关系，她就是来丢女人脸的，别理她。
",关系 ， 丢 女人 脸 ， 别理 。 
"""首先你得是个人，人都不做，谈何女权。别再拉着女权不放了，因为你们这些毫无道德底线的生物，女权被误解被抵制，女权不欠你们的",""" ， 做 ， 谈何 女权 。 拉 女权 不放 ， 道德 底线 生物 ， 女权 误解 抵制 ， 女权 不欠 "
"""看来你的脑子真是有问题，你连你讨论的目标该是什么人都搞不清楚吗？我们在讨论的是事件外评论者呢，ok？不过你的口气显然不是在讨论，是想抬扛还是想撕B？如果是后者恕不奉陪，你继续以“女权""""身份另辟战场吧",""" 脑子 ， 讨论 目标 该是 搞不清楚 ？ 讨论 事件 外 评论者 ， ok ？ 口气 讨论 ， 想 抬 扛 想 撕 B ？ 恕不奉陪 ， “ 女权 "" "" 身份 另辟 战场 "
"是，不管是反家暴还是女权，都是他们用来掩饰自己卑劣动机的旗帜而已，真真是脏污了反家暴和女权这两个词。
",， 反 家暴 女权 ， 掩饰 卑劣 动机 旗帜 ， 真真是 脏污 反 家暴 女权 词 。 
"前脚:任何理由都不是家暴的理由 后脚:祝你们被家暴 原来你们就是这么反家暴的呀！理解了理解了！
",前脚 : 任何理由 家暴 理由   后脚 : 祝你们 家暴   反 家暴 ！ 理解 理解 ！ 
"我看到不止一个自称反家暴的人，诅咒别人被家暴了还“要是你被家暴就好了”，怎么着任何理由都不是家暴的理由不是你们说的？我看你是支持家暴吧！
",自称 反 家暴 ， 诅咒 家暴 “ 家暴 ” ， 怎么着 任何理由 家暴 理由 ？ 支持 家暴 ！ 
"别为了这个渣渣浪费口水了，咱们生而为人，感情伴随一生！她生而为狗，为咬人而生！一个网络暴力的发起者，一个没感情，没思想的动物，狗都会感恩，她只会索取，然后恩将仇报之人！她活着已经没有意义了！劝她善良前，请了解她是否是个人！如果蔡艺侬女士能看到，希望解决了这个妖孽！@蔡艺侬
",渣 渣 浪费 口水 ， 生而为 ， 感情 伴随 一生 ！ 生而为 狗 ， 咬 人而生 ！ 网络 暴力 发起者 ， 感情 ， 思想 动物 ， 狗 感恩 ， 只会 索取 ， 恩将仇报 ！ 活着 意义 ！ 劝 善良 前 ， 请 是否是 ！ 蔡艺侬 女士 ， 希望 解决 妖孽 ！ @ 蔡艺侬 
"""我觉得正常人不会觉得她们可以代表女人的",""" 正常人 代表 女人 "
"""其实前女权主义者已经爆料，外国的女权组织已经把这些人当成笑话和恶心别人甚至恶心国家的东西看，不过有些外国人居心不轨想看中国人笑话，就懒得搭理她们。",""" 前 女权主义者 爆料 ， 外国 女权 组织 当成 笑话 恶心 恶心 国家 ， 外国人 居心 不轨 想 中国 笑话 ， 懒得 搭理 。 "
"评论里让我见识了微博“女权”有多么恶心，前脚反家暴，后脚“祝你们被家暴”，正常讨论不可以上来就让你收人参
",评论 里 见识 微博 “ 女权 ” 恶心 ， 前脚 反 家暴 ， 后脚 “ 祝你们 家暴 ” ， 讨论 就让 收 人参 
"：我真的想把这几个人找出来收拾，都在网络后面恶臭，乱泼脏水@恩和元元 @Marcus1 @果子狸7777 还有个妖妖，和她的洗脑追寻者，一群小号，真的厉害，现实中真的阴暗，敢出来吗。她那些支持她的评论大部分都是小号，报团的母🐶。。。。。
",： 想 找 收拾 ， 网络 恶臭 ， 乱泼 脏水 @ 恩和元元   @ Marcus1   @ 果子狸 7777   妖 妖 ， 洗脑 追寻 ， 一群 小号 ， 厉害 ， 现实 中 阴暗 ， 。 支持 评论 小号 ， 报团 母 🐶 。 。 。 。 。 
"""哦，对了，伪女权斗士觉得她们在网上喷脏造谣黑人是反家暴，反家暴人士真是冤死了，平白被泼了好大一盆污水",""" ， ， 伪 女权 斗士 网上 喷脏 造谣 黑人 反 家暴 ， 反 家暴 人士 冤死 ， 平白 泼 一盆 污水 "
"你和那些没感觉的人一样啊 很想知道如果你去夜店被一群陌生男人摸是什么感觉？
",感觉   很想 夜店 一群 陌生 男人 摸 感觉 ？ 
"男人就这样啊 你看他一眼 他以为你爱上他了 谁给他的自信
",男人     爱   自信 
"对于她诋毁胡歌，我替胡歌同情她，对于她打女权口号散发戾气和恶臭，我就觉得生气了，女权是光明正大理所应当的，她微博里面全是带各种节奏断章取义抠字眼，然后按头道歉，难怪那么多人骂女权，这样子，女权什么时候才能平权
",诋毁 胡歌 ， 我替 胡歌 同情 ， 女权 口号 散发 戾 气 恶臭 ， 生气 ， 女权 光明正大 理所应当 ， 微博 全是 节奏 断章取义 抠字眼 ， 按头 道歉 ， 多人 骂 女权 ， ， 女权 平权 
"""抱抱，还是有很多自尊自爱寻求自我价值的真女权人士的，不要被这些伪女权给伤了心，她们不配",""" 抱抱 ， 自尊 自爱 寻求 自我 价值 真 女权 人士 ， 伪 女权 伤 心 ， 不配 "
"女的家暴男的就是“女侠”，男的家暴女的就是恶臭 评论配图
",女 家暴 男 “ 女侠 ” ， 男 家暴 女 恶臭   评论 配图 
"是啊，就是这么疯狂和狭隘，只要你说了她们不想听的话就想千方百计搞臭你，造谣中伤无所不用其极
",， 疯狂 狭隘 ， 不想 听 想 千方百计 搞臭 ， 造谣中伤 无所不用其极 
"正经人家的女孩才不去夜店呢。这不打脸吗
",正经 女孩 夜店 。 脸 
"""自己没脑子还有脸说别人，你说我支持蒋劲夫，那你好像支持滥交吧，你被一起被几十个男人干过吧。",""" 没脑子 脸说 ， 支持 蒋劲夫 ， 支持 滥交 ， 几十个 男人 干过 。 "
"人要做生活的强者，女人也是，女权作为一种结果呈现出来，就更美好了。女权主义者大部分是在输出观点，中国的教育其实是有些问题的，作为教育的补充，我觉得很多观点是可以参考的。
",人要 做 生活 强者 ， 女人 ， 女权 呈现 ， 美好 。 女权主义者 输出 观点 ， 中国 教育 ， 教育 补充 ， 观点 参考 。 
"""#女权#",""" # 女权 # "
"女权不是一个有力量的词汇，相反它显示出挣扎与虚弱。
",女权 力量 词汇 ， 挣扎 虚弱 。 
"""看吧 这就是男方粉丝的智商 没有证据还只会造谣",""" 看吧   男方 粉丝 智商   证据 只会 造谣 "
"看的时候就感觉她特别没礼貌，特别喜欢锤人，还锤那么大声，心疼
",感觉 特别 礼貌 ， 特别 喜欢 锤 ， 锤 大声 ， 心疼 
"有必要计较，如果没有这个前提，估计也会说女方不好，这不是性别互换的问题
",计较 ， 前提 ， 估计 女方 不好 ， 性别 互换 
"不不不，在中国都不敢说自己是女权主义者了，会被一群战狼群起而攻之
",， 中国 女权主义者 ， 一群 战狼 群起而攻之 
"这为什么不能是一位男人的屁股，这女的歧视男的
",一位 男人 屁股 ， 这女 歧视 男 
"你这样的才是正常的女人，智慧的女人。那些搞女权的女脑子都有坑吗？是她们那样疯狂计较、不愿生育、把男人及男人的家庭当作博弈对象能获得幸福？还是你这样的能幸福？他妈的这简直显而易见。祝你多生孩子生活和谐
",女人 ， 智慧 女人 。 搞 女权 女 脑子 坑 ？ 疯狂 计较 、 不愿 生育 、 男人 男人 家庭 当作 博弈 对象 幸福 ？ 幸福 ？ 他妈的 显而易见 。 祝 多生 孩子 生活 和谐 
"我不学，那样容易死。好男儿上战场保家卫国，女性也都争着去吗？互相理解发挥各自优势比较好。
",不学 ， 死 。 好男儿 战场 保家卫国 ， 女性 争 ？ 互相理解 发挥 优势 。 
"谢谢您的祝福，感谢男人们拼杀各种“战场”卫国保家，我不想当花木兰，只想当小女人。
",谢谢您 祝福 ， 感谢 男人 拼杀 “ 战场 ” 卫国保家 ， 不想 花木兰 ， 只想 女人 。 
"中国女性不存在处境问题，而是生活环境烂透了。
",中国 女性 处境 ， 生活 环境 烂透 。 
"没素质，问人家传统淑女被性侵了怎么办，小心人家丈夫/父亲/兄弟揍你。这就是你们女权女的尊重女性吗？一切女人谁都像女权女一样贱和骚吗？性侵这种事，基本不可能发生在家教优良的传统淑女身上，不要拿极小概率事件代表常态
",素质 ， 问 传统 淑女 性侵 ， 小心 丈夫 / 父亲 / 兄弟 揍 。 女权 女 尊重 女性 ？ 女人 女权 女 贱 骚 ？ 性侵 事 ， 家教 优良 传统 淑女 ， 极小 概率 事件 代表 常态 
"嗯，反正看不少意思，只要出问题，全是男的，所有罪恶都是男的带来的
",， 反正 ， ， 全是 男 ， 罪恶 男 带来 
"平权道阻且长，家暴男猥琐男性别歧视屌丝男哪有自尽以谢天下的觉悟啊，有这觉悟的也不是女权主义斗争对象了
",平权 道 阻且 长 ， 家暴 男 猥琐男 性别歧视 屌丝 男 自尽 以谢 天下 觉悟 ， 觉悟 女权主义 斗争 对象 
"你应该问她被家暴了怎么办 毕竟小女人可能大门不出二门不迈的 不会遇到你所说的那种事情
",问 家暴   女人 大门 二门 不迈   所说 事情 
"中国政治未来也是女性的天下，因为挣得太少，年轻公务员都是女的
",中国 政治 未来 女性 天下 ， 挣得 太 少 ， 年轻 公务员 女 
"哎，本来男女的生殖繁衍体能上面的构造就是不同的。什么时候生孩子也成为雌性吹嘘和要求别人的理由了？生孩子的确累，但是这就是女生在网络上剥削压迫男生的借口吗？男生不是也会要照顾你么？大家扮演的分工不同，那不然干嘛分男女?
",， 本来 男女 生殖 繁衍 体能 构造 。 生 孩子 雌性 吹嘘 理由 ？ 生 孩子 累 ， 女生 网络 剥削 压迫 男生 借口 ？ 男生 照顾 ？ 扮演 分工 ， 干嘛 分 男女 ? 
"越来越多我不知道你那儿得出来的呵呵网上看多了负面消息吧。生孩子本来也是雌性应该做的分内之事，本来大家也是动物各有自己性别的分工，况且大家在你怀孕的时候也会照顾你啊。但是这不是你用来提出一堆对男生各种要求的理由。
",越来越 网上 看多 负面 消息 。 生 孩子 本来 雌性 做 分内之事 ， 本来 动物 各有 性别 分工 ， 怀孕 照顾 。 提出 一堆 男生 理由 。 
"让他们尝尝被身边最深爱的人背叛是什么滋味她们就会把那坑闭上了
",尝尝 身边 最深 爱 背叛 滋味 坑 闭上 
"变革是不现实的，本来这些事也没有规定，就很难说去变革什么的，想改变所有人的观念太困难了，中国有那么多地方连义务教育都覆盖不到，女权主义很多时候就是女性自己的口号，自己激励自己
",变革 现实 ， 本来 事 ， 很难说 变革 ， 想 改变 所有人 观念 太 困难 ， 中国 义务教育 覆盖 ， 女权主义 女性 口号 ， 激励 
"能想象，夫对养女有感情，妻对养女瓜分夫爱嫉妒，妻打养女，夫护养女，养女长大，没有血缘直接娶了
",想象 ， 夫对 养女 感情 ， 妻对 养女 瓜分 夫爱 嫉妒 ， 妻打 养女 ， 夫护 养女 ， 养女 长大 ， 血缘 娶 
"""你们看看这些海外中文媒体处处都是重男轻女，都是儒癌！华人圈子在哪里都是重男轻女的恶臭",""" 海外 中文 媒体 重男轻女 ， 儒癌 ！ 华人 圈子 重男轻女 恶臭 "
"他老婆是拎着他的鸡儿强迫他射精最后搞出孩子的吗……？男人这种“家庭是拖累我，妻子是我的负担”的恶臭思想绝了
",老婆 拎 鸡儿 强迫 射精 搞 孩子 … … ？ 男人 “ 家庭 拖累 ， 妻子 负担 ” 恶臭 思想 
"谁说毫无用处，只要拉到一个女人醒悟过来，别结婚，别跳进婚姻里给男人搞代孕，给男人吸血，父权就死一个细胞，就是胜利的一小步，不然你就算再怎么强再怎么争，你跳进婚姻里给男人当奴，就是屁用没有，你无非就是从一个女弱奴，变成了一个女强奴，那才是毫无用处。
",毫无用处 ， 拉 女人 醒悟 ， 结婚 ， 跳进 婚姻 里 男人 搞 代孕 ， 男人 吸血 ， 父权 死 细胞 ， 胜利 小步 ， 强 争 ， 跳进 婚姻 里 男人 当奴 ， 屁用 ， 无非 是从 女弱 奴 ， 女强 奴 ， 那才 毫无用处 。 
"男人说的拖累还就是指花他点钱而已，完全没有照料花费时间精力耐心这些。钱，就累死他了，他好委屈。
",男人 拖累 就是指 花 点 钱 ， 照料 花费 时间 精力 耐心 。 钱 ， 累死 ， 委屈 。 
"男人在女人面前的自怜自艾均为可耻。
",男人 女人 自怜自艾 可耻 。 
"男要出轨，娘要嫁人。你拉得回来？给他装上跟踪器？
",男要 出轨 ， 娘要 嫁人 。 你拉得 回来 ？ 装上 跟踪器 ？ 
"原配最无辜。换做是我，绝对让她一分钱得不到，告也要告死她，插足我婚姻还想拿我的钱？没有这样的道理。不让她牢底坐穿，她就不知道什么是道德廉耻。身为女人，该拥护的是正房的地位，一个个的向着小三是什么鬼。
",原配 无辜 。 换 做 ， 一分钱 得不到 ， 告 告死 ， 插足 婚姻 想 钱 ？ 道理 。 不让 牢底 坐 穿 ， 道德 廉耻 。 身为 女人 ， 拥护 正房 地位 ， 一个个 小三是 鬼 。 
"我觉得，现在的问题，小三真得不值得同情，该。从一个正常人的思维出发，小三就该被唾弃，怒骂。亦或是旁观者看不下去，替正室将她送进监狱，这都没有问题。之所以无论这么大，我觉得是因为，将小三送进监狱的是吴大猪蹄子。这就导致了正常思维有些接受不了。小三该遭千人唾万人骂。但人不应该是吴某某
",， ， 小三真 值得 同情 ， 。 正常人 思维 出发 ， 小三 唾弃 ， 怒骂 。 旁观者 看不下去 ， 正室 送 进 监狱 ， 。 ， 是因为 ， 小三送 进 监狱 吴大猪 蹄子 。 导致 思维 接受 。 小三该 遭千人 唾万人 骂 。 吴 
"""吴渣，对于妻子而言 吴给她花了上千万，又要了几千万分手费  平心而论就事论事 女孩七年花了几千万算浪费青春嘛？最后狮子大开口 要的多 妻子报警了 凭什么双方共同财产要给第三者？妻子让她坐几年牢不应该？吴身败名裂",""" 吴渣 ， 妻子   吴给 花 ， 几千万 分手 费     平心而论 就事论事   女孩 七年 花 几千万 算 浪费 青春 ？ 狮子 开口     妻子 报警   共同财产 第三者 ？ 妻子 坐 几年 牢 ？ 吴 身败名裂 "
"还有，原配才有权利追索损失，法律上哪一条都没有说小三能追什么损失的。除非你生了孩子，要抚养费什么的。
",， 原配 权利 追索 损失 ， 法律 哪一条 小三能 追 损失 。 你生 孩子 ， 抚养费 。 
"从一个正常的妻子角度出发，没毛病。舆论这么大，就是觉得吴太狠了。我一点不同情小三。但是同样特别憎恨大猪蹄子
",妻子 角度 出发 ， 毛病 。 舆论 ， 吴 太狠 。 一点 同情 三 。 特别 憎恨 大猪 蹄子 
"有些男的不仅喜欢当女权鉴定师，而且还会自己定义什么是女权，真的是很滑稽了
",男 喜欢 女权 鉴定 师 ， 还会 定义 女权 ， 滑稽 
"真的，我有个男性好友，我们在政治经济上的看法很一致，同情弱者，不赞成社会达尔文主义那一套，支持人的基本权利。到了性别话题，那套自古有之，为了社会整体发展那套说辞又出现了。
",， 男性 好友 ， 政治经济 看法 ， 同情 弱者 ， 赞成 社会 达尔文主义 一套 ， 支持 基本权利 。 性别 话题 ， 那套 自古 ， 社会 整体 发展 那套 说辞 。 
"你就是用鸡屎混着鸡汤喝，非得强调鸡汤有营养，无视鸡屎也一起被灌下去。
",鸡屎 混着 鸡汤 喝 ， 鸡汤 营养 ， 无视 鸡屎 灌 。 
"""还有，你还得漂亮身材好，不然以后出轨了还赖你黄脸婆",""" ， 漂亮 身材 ， 出轨 赖 黄脸婆 "
"她们是脑子进水了吗，回到封建社会，她们能被打死一千回了，她们庆幸现在是法治社会吧
",脑子 进水 ， 回到 封建社会 ， 打死 一千 回 ， 庆幸 法治 社会 
"我感觉她们这都是有目的的，好像是想骗人代孕挣钱，女生看不出来吗
",感觉 目的 ， 想 骗人 代孕 挣钱 ， 女生 看不出来 
"""sao比呢，辔还没打完？赶紧看看你老母吧，都搁臭了",""" sao ， 辔 完 ？ 赶紧 老母 ， 搁 "
"小sao鸡，如果老子在大街上碰到你，先把你这不要碧莲的脸撕了，再扒了sao皮，三斧子让你脑浆迸裂，分尸八段，大胯喂🐶，胸脯下酒，以慰你二老在天之灵
",sao 鸡 ， 老子 大街 碰到 ， 先 碧莲 脸 撕 ， 扒 sao 皮 ， 三 斧子 脑浆 迸裂 ， 分尸 八段 ， 胯 🐶 ， 胸脯 下酒 ， 以慰 二老 在天之灵 
"""欧美也是老男人掌权，参考特朗普//",""" 欧美 男人 掌权 ， 参考 特朗普 / / "
"德普也是人老智昏，人家小姑娘和50多男人在一起图啥，难道是爱情吗
",德普 老智昏 ， 小姑娘 50 男人 图 ， 爱情 
"""当时就有很多消息证明普叔没有家暴艾梅伯，普叔的前妻、前女友、了解事情真相的人都站德普，可就是有很多人只看了一点报道就坚信是普叔家暴，普叔真是能忍，忍到现在才起诉！",""" 消息 证明 普叔 家暴 艾梅伯 ， 普叔 前妻 、 前女友 、 事情 真相 站 德普 ， 一点 报道 坚信 普叔 家暴 ， 普叔 能忍 ， 忍 起诉 ！ "
"很难想象家暴的恐怖，作为身边很可能是陪伴走完余生的人，又怎么可能z如此狠心。尊重女性，支持女性，如果不爱请放手
",很难 想象 家暴 恐怖 ， 身边 陪伴 走 完 余生 ， z 狠心 。 尊重 女性 ， 支持 女性 ， 不爱 请 放手 
"不要那么绝对好吧 也不是所有人说她一定对 真的做出这种事那么她就是有问题
",  所有人   做出 事 
"那我来总结一下吧：艾女士诬陷德普家暴（有人证无证，且艾女士提出控告后未接受法院验伤）导致其被迪士尼开除，艾女士出轨，艾女士对德普使用暴力（亦有证据，且艾女士有家暴前科。她是双性恋，曾在公开场合对前女友使用暴力）
",： 艾 女士 诬陷 德普 家暴 （ 有人 证 无证 ， 艾 女士 提出 控告 未 接受 法院 验伤 ） 导致 迪士尼 开除 ， 艾 女士 出轨 ， 艾 女士 德普 使用暴力 （ 证据 ， 艾 女士 家暴 前科 。 双性恋 ， 公开场合 前女友 使用暴力 ） 
"笑死 她利用女权所以才嘲她女权先锋啊。
",笑 死   利用 女权 嘲 女权 先锋 。 
"""一面之词？艾女士拒绝法院验伤，而德普人证物证齐全，你说这怎么算一面之词？？？",""" 一面之词 ？ 艾 女士 拒绝 法院 验伤 ， 德普 人证物证 齐全 ， 算 一面之词 ？ ？ ？ "
"唉，心疼，我普一个大男人，要是真打起来难道能打不过这个泼妇？要不是因为爱过，因为人品，因为道德，能白白挨你这个泼妇打？
",， 心疼 ， 我普 男人 ， 真打 泼妇 ？ 爱过 ， 人品 ， 道德 ， 挨 泼妇 ？ 
"政治正确害死人，披着metoo羊皮借机上位的女
",政治 正确 害死 ， 披着 metoo 羊皮 借机 上位 女 
"噫，悍妇粉都哪去了？原来“前情”内容的那条微博下面一个个可都是理直气壮的呢
",噫 ， 悍妇 粉 ？ “ 前 情 ” 内容 那条 微博 一个个 理直气壮 
"给自己加戏，让自己更红，造成离婚是因为男方过错的假象，而不是她自己
",加戏 ， 更红 ， 离婚 是因为 男方 过错 假象 ， 
"是的 现在好多孩子都被节奏带跑了 无论德普有多离谱 吸毒之类的 但是他应该不会撒谎家暴 这个女人要好好感谢温子仁 一部好片子就成功洗白了 但是她演的角色不代表现实中她也是那样的美好正义的
",  好多 孩子 节奏 跑   德普 离谱   吸毒   撒谎 家暴   女人 好好 感谢 温子仁   一部 片子 成功 洗白   演 角色 代表 现实 中 美好 正义 
"这个女人害人不浅啊  还倒打一耙 害我老头
",女人 害人不浅     倒打一耙   害 老头 
"这位女人各种博同情各种仗势欺人各种歪曲事实 我觉得她的内心是有变态杀人狂倾向的，她的人格是分裂且扭曲的
",这位 女人 博 同情 仗势欺人 歪曲事实   内心 变态 杀人狂 倾向 ， 人格 分裂 扭曲 
"部分女权真敏感啊，一说女权就跳脚，好像见不得人似的。层主说的是女权先锋，一个宣扬女权的人居然还家暴自己女友，如此双标，还不能嘲讽她这个女权先锋了？
",女权 真 敏感 ， 一说 女权 跳脚 ， 见不得人 。 层主说 女权 先锋 ， 宣扬 女权 家暴 女友 ， 双标 ， 嘲讽 女权 先锋 ？ 
"从来都get不到她的颜的人表示她的艳压粉真的让我一个女星粉心生厌恶，就不能尊重下其他女明星吗？她的颜吹不止一次辣菜我喜欢的女星了
",get 颜 艳 压粉 女星 粉心生 厌恶 ， 尊重 女明星 ？ 颜吹 辣菜 喜欢 女星 
"""怎么能怪你呢 咱们从小学的优胜劣汰 以为这种低级动物都不存在了 当然会按照正常进化的人类标准来要求别人啦 以前以为她和她的个别粉丝低于标准值 谁能想到这些错误数据全都凑一块了",""" 能怪   小学 优胜劣汰   低级 动物   进化 人类 标准   粉丝 低于 标准值   想到 错误 数据 凑 一块 "
"田园女犬们快出来呀 你们主子被咬了 咬回去快点的
",田园 女犬们   主子 咬   咬 回去 快点 
"去我微博看，这女人骚照多的是，有些微博根本还发不了，一发就和谐。烂公交演部海王在国内就成了海后女神了真的笑死我
",微博看 ， 女人 骚照 ， 微博 还发 ， 一发 和谐 。 烂 公交 演部 海王 国内 成 海后 女神 笑 死 
"前任的漂亮更清纯甜美 一看就是正经人 现在这位一看就很肉的感觉
",前任 漂亮 清纯 甜美   一看 正经人   这位 一看 肉 感觉 
"德普的为人作为一个常年混迹欧美圈的我来说可以说是很好了，所以我从一开始就相信德普不是会家暴的人，反而这位女士信口雌黄，对待自己之后的伴侣也是充满着暴力，我很难信服这位女士。德普是个很绅士的人，所以单方面承受家暴而不还手我是信的，毕竟他的个人素养不会允许他对一个女士使用暴力。
",德普 常年 混迹 欧美 圈 ， 德普 家暴 ， 这位 女士 信口雌黄 ， 伴侣 充满 暴力 ， 难 信服 这位 女士 。 德普 绅士 ， 单方面 承受 家暴 还手 信 ， 素养 女士 使用暴力 。 
"""但是确实她除了外貌和展示外貌，其他方面太一般了",""" 外貌 展示 外貌 ， 太 "
"恶臭啊，打着女权的旗号行苟且之事，心疼德普
",恶臭 ， 打着 女权 旗号 行 苟且 事 ， 心疼 德普 
"我来吃个瓜的话肯定会偏向啊…Amber在跟船长结婚之前可是弯的哦，这么说吧，Depp娶这个女人导致我差点儿脱粉，现在这摊子烂事也算是他自食其果。当年他是脑子进水了啊抛弃14年感情+俩孩子的妈Vanessa突然娶这个女人！
",我来 吃 瓜 偏向 … Amber 船长 结婚 弯 ， ， Depp 娶 女人 导致 差点儿 脱粉 ， 摊子 烂事 算是 自食其果 。 当年 脑子 进水 抛弃 14 年 感情 + 俩 孩子 妈 Vanessa 娶 女人 ！ 
"马斯克和德普，这俩男人也是一言难尽。不过啥样的锅配啥样的盖。艾小姐和他们能复婚或复合倒是皆大欢喜
",马斯克 德普 ， 俩 男人 一言难尽 。 啥样 锅配 样 盖 。 艾 小姐 复婚 复合 倒 皆大欢喜 
"男的也难做，打了老婆你就是家暴罪，不打就是没用就是怂。
",男 难 做 ， 老婆 家暴 罪 ， 没用 怂 。 
"我总觉得很多词语加了权这个字就失去了最终的意义与界定，然后由权生出欲望，谎言，欺骗，最终走向畸形与再一次的灭亡。一直都不喜欢女权这个词，这不仅像男权带来的狂妄感一样，更有一种触底后过高反弹的过激感与自卑感。女性缺少的并不只是法律意义上的权利，真正的平等，需要男女性共同做出改变。
",总 词语 加 权 字 最终 意义 界定 ， 由权 生出 欲望 ， 谎言 ， 欺骗 ， 最终 走向 畸形 灭亡 。 喜欢 女权 词 ， 男权 带来 狂妄 感 ， 触底 后过 高 反弹 过激 感 自卑感 。 女性 缺少 法律 意义 权利 ， 平等 ， 男女性 做出 改变 。 
"对，德纳芙才是明眼人，看出了这个运动的极端之处，所以表出担忧，她是最早为女权声张的人，metoo是跟她比就是弟弟，结果曾经为女权发声的人被如今的女权主义者批判，这就很讽刺，我认为女权没有问题，但是metoo这种极端女权运动就有问题，为了女权打压正常的男性就很可怕，矫正过枉了
",， 德纳 芙 明眼人 ， 运动 处 ， 表 担忧 ， 最早 女权 声张 ， metoo 弟弟 ， 女权 发声 女权主义者 批判 ， 讽刺 ， 女权 ， metoo 女权运动 ， 女权 打压 男性 可怕 ， 矫正 过枉 
"一个真正正义的运动不会迫害任何一个无罪的人，但是发起人从根本上就背离了运动的本质，受害者保护自己的权益是好事但是这个运动已经演变成打压无辜男性的运动了，德普被极端女权主义者批判。他有罪吗？我不是反对女性争取自己的合法权益，我反对的是有些不怀好意的女性打着女权的名义欺负无关的人。
",正义 运动 迫害 无罪 ， 发起人 从根本上 背离 运动 本质 ， 受害者 保护 权益 好事 运动 演变成 打压 无辜 男性 运动 ， 德普 女权主义者 批判 。 有罪 ？ 反对 女性 合法权益 ， 反对 不怀好意 女性 打着 女权 名义 欺负 无关 。 
"这个该死的女人！没被家暴反而敢家暴我德普叔！真想揪着她的黄毛子搞死她啊！她算个屁啊！
",该死 女人 ！ 家暴 家暴 德普 叔 ！ 真想 揪 黄 毛子 搞 死 ！ 算个 屁 ！ 
"女权本意是为了让男女平等，让受压迫的女性可以得到尊重，只不过，被我们的艾梅伯女士这样的人歪用了。
",女权 本意 男女平等 ， 受压迫 女性 尊重 ， 只不过 ， 艾梅伯 女士 歪 。 
"反正这事出来前只要一说她说谎了就会被冠上仇女舔屌癌的帽子
",反正 事 前 一说 说谎 冠上 仇女 舔 屌 癌 帽子 
"而且我记得上次神奇女侠都被某女权组织喷了，说是胸太大。。
",记得 上次 神奇 女侠 女权 组织 喷 ， 胸太大 。 。 
"这和女权有啥关系？女的能打男的还打这么重叫支持女权吗难道？这不是女权，邪教了吧
",女权 关系 ？ 女 男 重叫 支持 女权 ？ 女权 ， 邪教 
"嗯嗯嗯 勉强都对吧 男人一起来反婚吧！千万别让女人占到便宜
",  勉强   男人 反婚 ！ 千万别 女人 占 便宜 
"有本事别结婚啊，又想占子宫便宜又不想出钱又想传宗接代，精神分裂了？
",本事 结婚 ， 想 占 子宫 便宜 不想 出钱 想 传宗接代 ， 精神分裂 ？ 
"妇女半边天的主持人说：男人说的“男女已经够平等了”他的意思是“你们女的已经够厉害了，不要再争取了”……南拳：女的内斗就行了，啥抢我的？不行
",妇女 半边天 主持人 ： 男人 “ 男女 够 平等 ” “ 女 够 厉害 ， ” … … 南拳 ： 女 内斗 就行了 ， 抢 ？ 不行 
"附议！让女性多工作工作，减轻男方负担！//
",附议 ！ 女性 工作 工作 ， 减轻 男方 负担 ！ / / 
"因为男性压力大所以男的地位比女的低？那总理主席也肯定压力大呢，他们是不是地位比捧着铁饭碗朝九晚五的地方公务员地位低
",男性 压力 男 地位 比女 低 ？ 总理 主席 压力 ， 地位 捧 铁饭碗 朝九晚五 公务员 地位 低 
"热烈欢迎男同胞的加入，反婚反育保钱包哦(´-ω-`)。
",热烈欢迎 男同胞 ， 反婚 反育保 钱包 ( ´ - ω - ` ) 。 
"我大力支持所有屌子们反抗压迫站起来 拿出你们的勇气来反婚反育 不要再盯着女性的资源和子宫身体了 想要孩子自己去用泥巴捏一个吧
",大力支持 屌 子们 反抗 压迫 站   拿出 勇气 反婚 反育   盯 女性 资源 子宫 身体   想要 孩子 泥巴 捏 
"所以说人一旦有了执念是真的魔鬼，和那些女德就没什么两样了
",执念 魔鬼 ， 女德 没什么 两样 
"哈哈哈哈但是在古代娶的老婆数量也是按阶层定下的，而且大部分屌癌也养不起那么多小妾
",哈哈哈哈 古代 娶 老婆 数量 阶层 定下 ， 屌 癌 养不起 多小妾 
"各位男性快远离这些寄生虫吧 别让婚姻成为她们吸血的工具
",男性 远离 寄生虫   婚姻 吸血 工具 
"因为现在的中国男人一天到晚臆想自己是有钱人啊，所以才觉得女人都拜金物质图他钱。你说好笑不好笑。
",中国 男人 一天到晚 臆想 有钱人 ， 女人 拜金 物质 图 钱 。 好笑 不好 笑 。 
"终于在世界的某些地方要实现我从小就做的一个梦。女性在这个世界被男性欺压太久太久，连这个世界的战争权都掌握在男性手里。女性就像被男性圈养的家禽，只要把你保护好，你就好好听话生育，照顾家庭，让男性泄欲就好。世界变了真好，女性醒了。
",世界 做 梦 。 女性 世界 男性 欺压 太久 太久 ， 世界 战争 权都 男性 手里 。 女性 男性 圈养 家禽 ， 保护 ， 好好 听话 生育 ， 照顾 家庭 ， 男性 泄欲 。 世界 变 真 ， 女性 醒 。 
"生下女奴或者生下奴隶主都是我不愿意的
",生 女奴 生 奴隶主 
